,ios_current_ratings,ios_all_ratings,ios_file_size,android_avg_rating,android_total_ratings,android_rating_1,android_rating_2,android_rating_3,android_rating_4,android_rating_5,android_file_size
2016-07-21 00:00:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 00:10:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 00:20:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 00:30:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 00:40:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 00:50:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 01:00:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 01:10:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 01:20:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 01:30:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 01:40:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 01:50:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 02:00:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 02:10:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 02:20:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 02:30:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 02:40:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 02:50:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 03:00:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 03:10:00,4688,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 03:20:00,5668,107460,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 03:30:00,5668,106508,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 03:40:00,5668,107460,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 03:50:00,5668,107460,110,3.9,1281802,199974,71521,117754,165956,726597,58
2016-07-21 04:00:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 04:10:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 04:20:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 04:30:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 04:40:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 04:50:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 05:00:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 05:10:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 05:20:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 05:30:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
2016-07-21 05:40:00,5668,107460,110,3.9,1292537,201095,71943,118795,167748,732956,58
